index_distillery,index_page_url,page_type
Royal Lochnagar,https://www.whiskyfun.com/Royal-Lochnagar.html,named_scottish_malt_distillery
Scapa,https://www.whiskyfun.com/Scapa.html,named_scottish_malt_distillery
Speyburn,https://www.whiskyfun.com/Speyburn.html,named_scottish_malt_distillery
Speyside Dist,https://www.whiskyfun.com/Speyside.html,named_scottish_malt_distillery
Springbank,https://www.whiskyfun.com/Springbank.html,named_scottish_malt_distillery
St-Magdalene,https://www.whiskyfun.com/St-Magdalene.html,named_scottish_malt_distillery
Strathisla,https://www.whiskyfun.com/Strathisla.html,named_scottish_malt_distillery
Strathmill,https://www.whiskyfun.com/Strathmill.html,named_scottish_malt_distillery
Talisker,https://www.whiskyfun.com/Talisker.html,named_scottish_malt_distillery
Tamdhu,https://www.whiskyfun.com/Tamdhu.html,named_scottish_malt_distillery
Tamnavulin,https://www.whiskyfun.com/Tamnavulin.html,named_scottish_malt_distillery
Teaninich,https://www.whiskyfun.com/Teaninich.html,named_scottish_malt_distillery
Tobermory,https://www.whiskyfun.com/Tobermory.html,named_scottish_malt_distillery
Tomatin,https://www.whiskyfun.com/Tomatin.html,named_scottish_malt_distillery
Tomintoul,https://www.whiskyfun.com/Tomintoul.html,named_scottish_malt_distillery
Torabhaig,https://www.whiskyfun.com/various-new-distilleries.html#torabhaig,named_scottish_malt_section
Tormore,https://www.whiskyfun.com/Tormore.html,named_scottish_malt_distillery
Tullibardine,https://www.whiskyfun.com/Tullibardine.html,named_scottish_malt_distillery
Various new-old disttilleries,https://www.whiskyfun.com/various-new-distilleries.html,catalog_root
Secret/Blended malts,https://www.whiskyfun.com/vatted-or-undisclosed.html,auxiliary_undisclosed_vatted
Grain whisky,https://www.whiskyfun.com/grain-whisky.html,auxiliary_grain
Blend,https://www.whiskyfun.com/blended-whisky.html,auxiliary_blend
Japan,https://www.whiskyfun.com/Japanese-whisky.html,auxiliary_other_whisky
Irish,https://www.whiskyfun.com/Irish-whisky.html,auxiliary_other_whisky
America & Bourbon,https://www.whiskyfun.com/American-whisky.html,auxiliary_other_whisky
Other countries,https://www.whiskyfun.com/world-whisky.html,auxiliary_other_whisky
Rum,https://www.whiskyfun.com/Rums.html,auxiliary_other_whisky
Armagnac,https://www.whiskyfun.com/Cognac-Armagnac-and-other-spirits.html#armagnac,auxiliary_other_whisky
Cognac,https://www.whiskyfun.com/Cognac-Armagnac-and-other-spirits.html#cognac,auxiliary_other_whisky
Other spirits,https://www.whiskyfun.com/Cognac-Armagnac-and-other-spirits.html#calvados,auxiliary_other_whisky
