group,validation_type,n_group,n_other,category,group_mean_per1k,other_mean_per1k,cohen_d,welch_p
Bourbon title cue,independent metadata validation,3436,7713,flaw,1.39284184918942,1.911034447201471,-0.1165656680308916,3.6979787420454843e-10
Bourbon title cue,independent metadata validation,3436,7713,structure,2.9365552586299857,3.09240715100621,-0.03149861085474925,0.13386257624350528
Bourbon title cue,independent metadata validation,3436,7713,eval,11.553521536732983,9.80034282013652,0.19173912645748223,7.756322739704713e-19
High score (criterion),criterion association,2951,8198,fruit,16.342312849201157,19.042156137600603,-0.18451788073920106,1.8523776686729197e-20
High score (criterion),criterion association,2951,8198,floral,1.9166805815319143,1.7017248215536125,0.05005019829627111,0.01680203205261825
High score (criterion),criterion association,2951,8198,spice,2.759324353031516,3.655681953860581,-0.16510932000913892,6.1632986278528325e-18
High score (criterion),criterion association,2951,8198,peat,16.869092712823676,9.675150800538395,0.4306165493349719,1.3221551258075633e-73
High score (criterion),criterion association,2951,8198,sherry,12.20017651471832,11.928846595213768,0.01758729922944912,0.42040445070494914
High score (criterion),criterion association,2951,8198,oak,4.711926248098132,7.078285550799589,-0.2584318665296791,1.7380028451552274e-46
High score (criterion),criterion association,2951,8198,texture,3.520245280421055,2.629013602350388,0.17668560190823296,2.666951738793232e-14
High score (criterion),criterion association,2951,8198,mineral,7.799203943872364,8.268946634924664,-0.046885833599944554,0.022789756178821306
High score (criterion),criterion association,2951,8198,flaw,0.8709028305419295,2.0682579936753545,-0.27086540230741585,2.6070414002305753e-60
High score (criterion),criterion association,2951,8198,structure,3.719113927760999,2.8014924400513324,0.18606102083123935,8.823699787029808e-17
High score (criterion),criterion association,2951,8198,eval,11.359280572920824,9.973982337306435,0.151250546041315,3.6313848365709944e-12
Low score (criterion),criterion association,359,10790,fruit,11.921352824413988,18.540685409645757,-0.45233491088609096,1.2449781133656709e-23
Low score (criterion),criterion association,359,10790,floral,1.2024011508793937,1.7771271983347072,-0.13382366214034094,0.0016760929418698125
Low score (criterion),criterion association,359,10790,spice,2.5815468935004087,3.446271685706989,-0.1589241063789811,0.0013649283647855215
Low score (criterion),criterion association,359,10790,peat,4.857112958307874,11.802954152578677,-0.40952526189728794,6.990814315994576e-41
Low score (criterion),criterion association,359,10790,sherry,6.670621166358784,12.17800299200866,-0.357682560351265,4.0937347847748975e-21
Low score (criterion),criterion association,359,10790,oak,8.267121936729948,6.391546110130358,0.20364585952625533,0.004398593202603273
Low score (criterion),criterion association,359,10790,texture,1.9096072017906185,2.8966958618302296,-0.19521306550999384,2.0082001196652463e-06
Low score (criterion),criterion association,359,10790,mineral,7.368576865238928,8.170431534463296,-0.08002537358527954,0.11680238220709978
Low score (criterion),criterion association,359,10790,flaw,8.6219684736385,1.5227364785026478,1.6618573370041478,4.535375497850926e-29
Low score (criterion),criterion association,359,10790,structure,2.386346635761627,3.066268932541715,-0.1374423219384202,0.00797433073530253
Low score (criterion),criterion association,359,10790,eval,6.495144968678391,10.468599363129933,-0.43413916252716117,4.341344748806537e-23
